reqId	ON	DN	ST	Rev	TrT
96	5060	1174	20	271	10
97	1607	4833	20	300	10
98	522	1957	20	373	13
99	522	6325	20	288	10
100	1612	243	20	371	13
101	1605	4856	20	382	13
102	3510	7244	20	499	17
103	2107	6888	21	291	10
104	2588	1872	21	302	11
105	3541	3297	21	319	11
106	7092	1640	21	315	11
107	1615	1648	22	309	11
108	1407	1210	22	451	16
109	2884	845	22	339	12
110	3173	399	22	591	20
111	2829	1257	22	406	14
112	1317	7648	22	536	18
113	7009	3106	22	373	13
114	1595	3261	23	347	12
115	438	3430	23	285	10
116	1617	258	23	406	14
117	411	2644	24	303	11
118	1595	1129	24	450	15
119	2878	943	24	360	12
120	1596	249	25	458	16
121	3064	581	25	498	17
122	2403	1871	25	332	12
123	800	3129	25	350	12
124	815	1167	25	372	13
125	3495	8865	25	369	13
126	896	2627	25	287	10
127	790	8467	25	426	15
128	1774	1168	25	306	11
129	2121	3241	25	444	15
130	639	10012	26	344	12
131	130	342	26	484	17
132	6516	556	27	401	14
133	863	3565	27	574	20
134	873	2198	27	324	11
135	2275	1646	27	323	11
136	6520	2546	27	402	14
137	1751	2794	27	320	11
138	290	6002	28	272	10
139	1009	1898	28	385	13
140	10118	151	28	299	10
141	8101	2546	29	312	11
142	1606	262	29	483	17
143	863	1724	29	503	17
144	825	2771	29	246	9
145	2089	10007	29	321	11
146	794	7641	30	457	16
147	1596	2841	30	304	11
148	962	7674	30	432	15
149	1707	3129	30	357	12
150	1021	26	30	347	12
151	790	1377	31	434	15
152	2118	2566	31	329	11
153	1404	5322	32	522	18
154	1555	9979	32	316	11
155	1602	1653	32	372	13
156	2284	4850	32	332	12
157	3205	2940	32	333	12
158	1612	392	33	431	15
159	1306	1754	33	349	12
160	2170	3107	33	376	13
161	6016	590	33	304	11
162	1160	586	34	403	14
163	1403	652	34	429	15
164	1591	1641	34	376	13
165	827	1720	34	470	16
166	2635	1759	36	324	11
167	8067	4844	36	291	10
168	1078	4834	37	490	17
169	7293	580	37	561	19
170	8555	1670	38	400	14
171	1606	1028	38	353	12
172	1879	11	38	393	14
173	2170	2984	39	306	11
174	1604	1168	39	363	13
175	7354	16	40	341	12
176	3172	375	40	303	11
177	1404	2838	40	384	13
178	1571	1784	41	332	12
179	2170	2640	41	352	12
180	1182	606	42	325	11
181	6516	1379	42	383	13
182	898	1537	42	324	11
183	2285	586	43	401	14
184	454	525	43	414	14
185	2170	2795	44	323	11
186	2894	2559	45	540	18
187	790	5021	45	444	15
188	6999	950	45	335	12
189	2617	1499	46	414	14
190	2390	3655	46	327	11
191	7390	7674	47	293	10
192	1011	2300	47	379	13
193	1831	542	48	418	14
194	783	3036	48	678	23
195	897	4833	48	417	14
196	7005	4841	48	468	16
197	3172	847	48	365	13
198	3400	1232	48	309	11
199	3374	1035	49	345	12
200	2391	1268	49	360	12
201	62	3085	49	310	11
202	2800	4857	49	554	19
203	1407	5542	49	389	13
204	1404	3106	50	366	13
205	7481	1622	50	403	14
206	8450	1182	50	257	9
207	2623	610	50	444	15
208	2967	552	50	301	11
209	2829	8291	50	323	11
210	2096	1088	51	426	15
211	2509	6794	51	349	12
212	1917	6842	52	420	14
213	2324	3116	52	315	11
214	10436	4833	53	399	14
215	521	1023	53	385	13
216	3394	3089	53	301	11
217	4897	5023	53	437	15
218	5492	3948	53	308	11
219	1585	2991	54	352	12
220	2824	250	54	397	14
221	2174	2651	54	345	12
222	790	3261	54	404	14
223	1750	14	54	337	12
224	7280	30	55	345	12
225	9441	3102	55	343	12
226	10464	1440	55	308	11
227	783	2300	56	405	14
228	6999	1897	56	361	13
229	10475	2037	56	378	13
230	1613	309	57	260	9
231	2737	2559	58	402	14
232	790	343	58	669	23
233	3586	7655	58	355	12
234	9330	3919	59	332	12
235	791	3300	60	387	13
236	2176	1415	60	479	16
237	790	2682	60	337	12
238	8392	247	61	364	13
239	891	4845	62	475	16
240	2588	2838	62	364	13
241	9314	1262	62	564	19
242	1936	5924	63	342	12
243	4801	3300	63	425	15
244	441	4837	64	279	10
245	9324	451	64	343	12
246	4835	3836	65	376	13
247	1593	5024	65	441	15
248	2754	4151	66	349	12
249	2482	3277	67	265	9
250	1803	2754	67	489	17
251	2658	450	68	432	15
252	480	3102	68	320	11
253	1159	1415	68	322	11
254	7292	2306	69	411	14
255	380	659	69	397	14
256	7390	2558	69	349	12
257	9731	6478	70	401	14
258	3103	1591	70	322	11
259	876	2841	70	263	9
260	1765	3921	71	327	11
261	1331	1779	71	331	12
262	2494	1527	72	319	11
263	549	676	73	376	13
264	3211	842	73	297	10
265	2151	4844	73	448	15
266	7214	3179	74	281	10
267	1170	5481	74	266	9
268	1042	10159	74	331	12
269	5105	2335	75	300	10
270	3806	2634	75	329	11
271	5988	657	76	361	13
272	2642	5919	76	359	12
273	2618	3530	76	298	10
274	1587	247	76	491	17
275	2666	3529	77	335	12
276	1796	632	77	326	11
277	1393	1688	77	377	13
278	942	46	77	431	15
279	9676	1729	78	334	12
280	2316	3080	78	263	9
281	376	3921	78	386	13
282	2016	8876	78	521	18
283	3455	934	78	292	10
284	4218	3074	78	217	8
285	2482	1806	78	288	10
286	2185	1688	78	342	12
287	823	3112	78	302	11
288	62	1043	79	360	12
289	1398	568	79	261	9
290	4895	2035	79	337	12
291	622	455	79	373	13
292	726	3641	79	260	9
293	301	4834	80	377	13
294	3275	1068	80	256	9
295	372	2334	80	358	12
296	2603	1713	80	245	9
297	3598	10178	80	305	11
298	150	7354	80	298	10
299	7746	5166	80	346	12
300	2756	2959	81	265	9
301	933	456	81	356	12
302	521	1264	81	311	11
303	1533	1978	81	430	15
304	353	1808	81	283	10
305	1683	3159	82	267	9
306	530	740	82	320	11
307	7695	3194	82	270	9
308	3082	120	82	274	10
309	944	2690	82	338	12
310	7405	6540	82	283	10
311	1517	1665	82	325	11
312	379	7483	83	315	11
313	5713	2848	83	287	10
314	10358	2482	83	253	9
315	2508	10159	84	308	11
316	515	1689	84	331	12
317	2676	1260	84	311	11
318	1495	3544	84	484	17
319	2756	3194	84	274	10
320	2184	727	84	364	13
321	449	2351	84	270	9
322	890	448	84	318	11
323	2824	2552	85	339	12
324	2392	57	85	285	10
325	2192	246	85	324	11
326	1778	1689	85	359	12
327	3073	1064	85	263	9
328	766	1688	85	303	11
329	8587	604	85	358	12
330	384	1915	86	283	10
331	365	5954	86	365	13
332	3075	353	86	270	9
333	3483	363	86	330	11
334	375	2330	86	367	13
335	1778	727	86	392	14
336	2814	1506	86	347	12
337	2625	7692	86	380	13
338	1777	8622	86	301	11
339	1449	3158	86	287	10
340	3590	2335	86	347	12
341	383	578	86	316	11
342	62	3155	86	313	11
343	5974	3921	86	328	11
344	372	6399	86	393	14
345	939	3921	87	355	12
346	5520	1688	87	360	12
347	329	247	87	442	15
348	780	2983	87	346	12
349	1530	10201	87	286	10
350	3388	1808	87	277	10
351	722	360	87	301	11
352	5993	1874	87	354	12
353	296	1526	87	399	14
354	6481	8444	87	302	11
355	296	1492	87	240	8
356	835	6856	88	266	9
357	2679	7388	88	310	11
358	3573	1069	88	348	12
359	2609	5072	88	284	10
360	1965	8820	88	334	12
361	1604	8875	88	313	11
362	5977	4023	88	315	11
363	2615	3480	88	288	10
364	3361	2187	88	324	11
365	2614	629	88	281	10
366	3510	2548	88	340	12
367	2614	2317	88	266	9
368	791	3152	88	412	14
369	3169	1892	89	389	13
370	2659	1744	89	336	12
371	387	1689	89	298	10
372	1041	726	89	319	11
373	648	3280	89	314	11
374	1950	2722	89	269	9
375	3056	3012	89	214	8
376	859	377	90	298	10
377	5517	3949	90	370	13
378	364	1067	90	364	13
379	2350	10022	90	295	10
380	2620	1064	90	347	12
381	2699	2553	90	352	12
382	2984	3139	90	275	10
383	773	2983	90	361	13
384	1170	1194	90	301	11
385	1339	4834	90	333	12
386	3810	3277	90	289	10
387	296	5481	90	279	10
388	2273	7651	91	328	11
389	1622	5093	91	355	12
390	1035	2320	91	302	11
391	598	363	91	423	15
392	804	1222	91	415	14
393	3588	1110	91	226	8
394	1272	139	91	344	12
395	2640	10361	91	362	13
396	363	3387	91	347	12
397	2474	2910	92	369	13
398	1928	2722	92	268	9
399	358	2875	92	283	10
400	4987	1688	92	395	14
401	1526	10159	92	370	13
402	372	3921	92	373	13
403	532	2392	92	363	13
404	1635	3160	92	290	10
405	929	246	92	290	10
406	370	3336	93	380	13
407	2132	2270	93	297	10
408	2511	475	93	278	10
409	808	4335	93	225	8
410	2815	2691	93	546	19
411	6381	2335	93	326	11
412	1814	10162	93	366	13
413	2377	9960	93	290	10
414	1018	618	94	517	18
415	3074	1067	94	268	9
416	9265	3365	94	291	10
417	2756	1920	94	255	9
418	7695	1921	94	256	9
419	371	212	94	321	11
420	2004	1195	94	274	10
421	2868	2998	95	330	11
422	2215	70	95	342	12
423	1767	3507	95	337	12
424	2756	3277	95	271	10
425	2212	660	95	333	12
426	1343	836	95	306	11
427	2122	3507	96	260	9
428	3160	726	96	287	10
429	2394	8904	96	282	10
430	1767	2481	96	354	12
431	2545	442	96	291	10
432	3075	69	96	250	9
433	1671	2351	96	311	11
434	297	3022	96	370	13
435	2506	454	96	313	11
436	531	3389	97	467	16
437	1762	275	97	275	10
438	1161	246	97	380	13
439	5508	4020	97	307	11
440	3351	2754	97	402	14
441	2601	3040	97	232	8
442	1495	5067	97	234	8
443	9824	10367	97	396	14
444	3293	62	97	418	14
445	2613	261	97	474	16
446	3588	2218	97	247	9
447	62	8647	97	281	10
448	1027	3076	97	250	9
449	296	1521	98	353	12
450	662	3280	98	286	10
451	51	10158	98	279	10
452	372	6398	98	380	13
453	3483	365	98	336	12
454	2783	578	98	280	10
455	2065	6402	98	368	13
456	888	1356	98	336	12
457	9217	5066	99	396	14
458	493	2778	99	330	11
459	2605	10159	99	245	9
460	2781	247	99	276	10
461	372	3530	99	359	12
462	3480	3401	99	228	8
463	2706	1449	99	285	10
464	3082	6800	99	291	10
465	2124	578	99	433	15
466	728	5483	100	272	10
467	1538	472	100	398	14
468	562	823	100	362	13
469	2720	48	100	254	9
470	3810	5487	100	313	11
471	370	6399	100	386	13
472	2620	1689	100	305	11
473	365	62	100	364	13
474	5529	3481	101	385	13
475	3056	1368	101	254	9
476	565	7070	101	360	12
477	1367	2778	101	276	10
478	1963	1996	101	236	8
479	2096	274	101	446	15
480	5520	1744	101	325	11
481	62	2966	101	291	10
482	3487	247	101	480	16
483	1934	450	101	320	11
484	1448	6603	102	252	9
485	3451	728	102	442	15
486	354	3388	102	316	11
487	395	1304	102	318	11
488	118	4023	102	311	11
489	9221	5066	102	379	13
490	663	8829	102	275	10
491	3312	8880	102	297	10
492	1796	407	102	292	10
493	495	48	102	350	12
494	2709	4469	102	293	10
495	535	5162	102	428	15
496	2505	1244	102	349	12
497	2142	1532	103	335	12
498	358	1688	103	304	11
499	3156	3950	103	303	11
500	3074	1068	103	262	9
501	2213	1171	103	345	12
502	5552	48	103	360	12
503	365	3438	103	352	12
504	1590	6842	103	320	11
505	661	8643	104	248	9
506	8856	4894	104	266	9
507	751	1069	104	330	11
508	385	1928	104	432	15
509	372	3480	104	366	13
510	1173	5066	104	271	10
511	1604	7263	104	462	16
512	1604	4257	104	266	9
513	7071	2497	104	272	10
514	3210	842	104	314	11
515	2365	2762	104	255	9
516	925	247	104	322	11
517	1759	3094	104	291	10
518	931	246	104	284	10
519	3152	286	105	409	14
520	688	7490	105	247	9
521	3160	1663	105	218	8
522	5435	716	105	453	16
523	2757	827	105	276	10
524	62	7387	105	286	10
525	2708	2316	105	262	9
526	364	2761	105	321	11
527	2756	622	105	386	13
528	1370	1714	105	267	9
529	7378	1246	105	367	13
530	3090	3178	105	341	12
531	3483	3073	105	219	8
532	1511	8342	105	290	10
533	3636	2517	106	319	11
534	7386	448	106	287	10
535	6377	2046	106	396	14
536	362	247	106	391	14
537	3281	2331	106	282	10
538	3016	451	106	293	10
539	3587	6478	106	310	11
540	1934	1065	106	332	12
541	2677	1356	106	447	15
542	1605	2772	106	304	11
543	7089	2778	107	281	10
544	1160	7270	107	292	10
545	1683	3274	107	228	8
546	439	5922	107	291	10
547	365	2898	107	270	9
548	3102	656	108	416	14
549	2709	1068	108	303	11
550	372	2331	108	363	13
551	6479	3277	108	272	10
552	2709	274	108	241	9
553	2761	8647	108	265	9
554	2709	2756	108	292	10
555	5990	2190	108	235	8
556	3480	5503	108	330	11
557	2278	5066	108	274	10
558	1747	5552	109	301	11
559	3155	3919	109	304	11
560	1440	2388	109	322	11
561	7087	2756	109	273	10
562	1518	2748	109	368	13
563	534	2949	109	302	11
564	2636	7099	109	369	13
565	3074	62	109	260	9
566	2520	3495	109	288	10
567	1935	2029	109	274	10
568	62	3194	110	270	9
569	4615	1443	110	312	11
570	1357	727	110	315	11
571	943	262	110	311	11
572	3590	1109	110	288	10
573	3520	466	110	267	9
574	2604	6842	110	308	11
575	556	2767	111	595	20
576	5482	726	111	276	10
577	372	224	111	389	13
578	6009	474	111	342	12
579	6240	1689	111	306	11
580	51	1065	111	327	11
581	1454	394	112	443	15
582	4336	2123	112	295	10
583	3054	3395	112	268	9
584	752	576	112	315	11
585	26	2591	112	266	9
586	1145	3919	112	249	9
587	1535	212	112	415	14
588	2636	2766	112	436	15
589	7494	2137	112	363	13
590	2780	2498	112	343	12
591	53	7270	113	333	12
592	1555	2638	113	264	9
593	502	2317	113	347	12
594	369	49	113	364	13
595	7770	3040	113	202	7
596	1339	1152	113	257	9
597	5492	5067	114	295	10
598	3056	2065	114	297	10
599	458	2123	114	244	9
600	2107	273	114	282	10
601	3278	2770	114	262	9
602	3160	1736	114	257	9
603	62	2192	114	317	11
604	430	5064	114	262	9
605	2123	2778	114	288	10
606	2603	3054	115	230	8
607	2743	727	115	256	9
608	2756	437	115	287	10
609	2607	5922	115	275	10
610	1508	3265	115	335	12
611	297	1920	115	258	9
612	62	3073	115	249	9
613	1848	1556	116	309	11
614	3097	2581	116	310	11
615	6794	1809	116	303	11
616	3076	3374	116	273	10
617	4337	3160	116	315	11
618	1923	2895	116	346	12
619	2600	62	116	237	8
620	8455	3025	116	248	9
621	2621	3921	117	332	12
622	557	2287	117	304	11
623	2736	1065	117	255	9
624	8587	3169	117	341	12
625	366	3611	117	329	11
626	3480	1605	117	263	9
627	2927	4336	117	418	14
628	1753	246	117	516	18
629	1844	3173	117	279	10
630	3369	1609	117	254	9
631	3078	4257	118	296	10
632	2713	2120	118	290	10
633	1041	721	118	281	10
634	1109	2084	118	305	11
635	2351	2754	118	290	10
636	3288	3235	118	240	8
637	2348	2778	118	295	10
638	937	3601	118	310	11
639	3156	267	118	287	10
640	2672	2040	118	362	13
641	3351	1313	119	320	11
642	3230	3727	119	382	13
643	1604	4731	119	272	10
644	3287	2344	119	273	10
645	1596	2985	119	248	9
646	8067	1716	119	297	10
647	2839	998	119	349	12
648	5508	2922	120	390	13
649	4336	2954	120	254	9
650	826	2778	120	262	9
651	3284	110	120	260	9
652	2282	5066	120	295	10
653	2308	4336	120	304	11
654	2245	2688	120	544	19
655	580	1611	121	385	13
656	7214	2337	121	271	10
657	1356	4821	121	488	17
658	1597	2335	121	227	8
659	7070	1449	121	338	12
660	151	3550	121	328	11
661	1272	1598	121	223	8
662	2239	8439	121	249	9
663	1920	1716	121	249	9
664	2984	6402	122	426	15
665	1272	750	122	280	10
666	1068	3074	122	263	9
667	3082	4022	122	277	10
668	1963	7653	122	343	12
669	1923	2542	122	310	11
670	5956	2846	122	356	12
671	372	1068	122	384	13
672	2613	727	122	279	10
673	3516	2967	123	306	11
674	1495	4843	123	405	14
675	2287	5066	123	315	11
676	3074	1069	123	267	9
677	273	1528	123	363	13
678	5071	1769	123	325	11
679	2795	483	123	284	10
680	3619	1689	123	239	8
681	2080	3998	123	328	11
682	361	3921	123	338	12
683	3520	2320	124	292	10
684	5956	2610	124	285	10
685	3519	5505	124	270	9
686	3919	1190	124	292	10
687	3057	7070	124	353	12
688	1845	762	125	270	9
689	2624	3170	125	269	9
690	438	4336	125	316	11
691	1847	725	125	355	12
692	7070	247	125	400	14
693	623	3389	125	367	13
694	1769	773	125	250	9
695	2510	3553	125	316	11
696	1569	704	125	292	10
697	7088	2754	126	297	10
698	2758	2349	126	275	10
699	7070	3530	126	329	11
700	94	62	126	240	8
701	365	2335	126	332	12
702	3073	8390	126	268	9
703	3480	4908	126	246	9
704	3083	1066	126	320	11
705	1570	754	126	346	12
706	2185	2417	127	296	10
707	1193	2017	127	237	8
708	3093	473	127	294	10
709	1033	3810	127	360	12
710	3668	6852	127	258	9
711	7081	3809	127	330	11
712	2015	5528	127	351	12
713	2651	875	127	339	12
714	2498	1864	127	322	11
715	829	2335	127	263	9
716	3278	2754	127	287	10
717	1612	3809	127	306	11
718	1387	7217	128	614	21
719	1607	2778	128	270	9
720	373	224	128	392	14
721	625	3039	128	393	14
722	2283	8390	128	303	11
723	2723	3438	128	247	9
724	7383	447	129	460	16
725	1157	3920	129	269	9
726	840	2778	129	305	11
727	3273	7354	129	225	8
728	9217	1313	129	358	12
729	492	2755	129	354	12
730	2982	246	129	274	10
731	750	10365	130	301	11
732	3094	10159	130	389	13
733	5992	262	130	331	12
734	676	2651	130	394	14
735	2275	2778	130	266	9
736	432	1447	130	262	9
737	938	3334	130	398	14
738	1606	1232	130	381	13
739	5552	1850	130	499	17
740	491	4137	131	303	11
741	4404	3178	131	330	11
742	364	2766	131	366	13
743	2614	1068	131	297	10
744	3074	3516	131	248	9
745	1596	256	131	478	16
746	1068	1962	131	235	8
747	8587	246	131	245	9
748	1738	622	131	339	12
749	2497	1632	131	430	15
750	2286	1716	131	295	10
751	542	5180	132	309	11
752	799	2525	132	302	11
753	433	2778	132	276	10
754	5492	3948	133	308	11
755	7486	2627	133	283	10
756	538	5159	133	366	13
757	2953	614	133	583	20
758	1597	578	133	443	15
759	2379	2985	133	436	15
760	638	5729	133	267	9
761	1598	3809	133	253	9
762	2983	3919	133	411	14
763	1596	8622	134	456	16
764	1573	274	134	342	12
765	381	1130	134	317	11
766	825	2754	134	273	10
767	1744	622	134	309	11
768	1743	576	134	549	19
769	1822	1381	134	313	11
770	1597	610	134	580	20
771	3543	1392	134	328	11
772	728	7095	134	251	9
773	2866	3039	134	231	8
774	246	8903	135	368	13
775	129	2161	135	354	12
776	2245	2984	135	252	9
777	528	3624	135	440	15
778	2963	1927	135	275	10
779	5507	7478	135	270	9
780	3098	6800	136	417	14
781	1922	3371	136	435	15
782	835	5066	136	285	10
783	6398	2823	136	285	10
784	2040	5491	136	271	10
785	1766	267	136	327	11
786	2248	3066	136	307	11
787	3481	2347	137	250	9
788	3619	4836	137	316	11
789	825	8618	137	408	14
790	6956	2677	137	276	10
791	2281	5922	137	282	10
792	2866	10158	137	227	8
793	6597	69	137	229	8
794	70	1016	138	283	10
795	428	1171	138	252	9
796	1685	2666	138	290	10
797	3361	5172	138	248	9
798	267	372	138	362	13
799	2679	1856	138	341	12
800	3073	3374	138	252	9
801	62	385	138	429	15
802	780	1775	138	328	11
803	46	324	139	212	8
804	1066	6001	139	455	16
805	3374	1190	139	291	10
806	2520	7008	139	310	11
807	3509	3336	139	278	10
808	3351	2757	139	378	13
809	2680	7020	139	250	9
810	1602	2337	139	252	9
811	2282	3611	139	270	9
812	3083	8618	140	391	14
813	517	10514	140	317	11
814	2968	1291	140	268	9
815	5998	7478	140	320	11
816	2035	1820	140	366	13
817	270	1038	140	285	10
818	3274	3374	140	252	9
819	189	3543	140	347	12
820	658	11	140	418	14
821	1596	6696	140	310	11
822	1369	67	141	249	9
823	3919	3663	141	379	13
824	224	3076	141	276	10
825	513	2329	141	274	10
826	2285	3948	141	288	10
827	1526	7285	141	337	12
828	767	2331	141	340	12
829	3195	5067	141	261	9
830	3193	3527	141	336	12
831	833	3634	141	269	9
832	224	1157	141	277	10
833	7095	2893	141	262	9
834	380	1928	141	417	14
835	2120	247	141	426	15
836	2420	2010	141	433	15
837	3186	8879	141	324	11
838	4257	814	141	234	8
839	1356	3044	142	230	8
840	3394	256	142	626	21
841	3289	1994	142	265	9
842	5481	2754	142	290	10
843	726	8388	142	285	10
844	296	374	142	407	14
845	1035	1648	142	311	11
846	6794	7087	142	284	10
847	3193	4257	142	424	15
848	6794	831	143	296	10
849	5485	1069	143	320	11
850	372	3611	143	348	12
851	431	449	143	258	9
852	2349	3388	143	277	10
853	554	129	143	342	12
854	60	3949	143	370	13
855	274	2530	143	435	15
856	4257	1144	143	254	9
857	3809	1761	143	375	13
858	5482	2316	143	257	9
859	7409	247	143	382	13
860	9796	5066	143	312	11
861	448	623	143	382	13
862	224	1146	143	257	9
863	433	3177	143	256	9
864	1190	646	144	308	11
865	503	347	144	267	9
866	1547	2802	144	386	13
867	7016	1263	144	426	15
868	542	2963	144	296	10
869	18	10486	144	312	11
870	8829	4041	144	286	10
871	434	5922	145	273	10
872	1356	2123	145	288	10
873	5552	474	145	283	10
874	3191	1555	145	229	8
875	2607	2528	145	265	9
876	2713	2347	145	291	10
877	2004	2174	145	406	14
878	2216	508	145	300	10
879	8391	5028	145	332	12
880	2349	3810	145	316	11
881	2189	14	145	248	9
882	430	5060	146	264	9
883	3238	3078	146	240	8
884	10365	2419	146	256	9
885	765	10159	146	346	12
886	1611	2778	146	288	10
887	526	2399	146	385	13
888	13	1591	146	271	10
889	2612	2754	146	295	10
890	2778	2282	146	288	10
891	497	458	146	315	11
892	5922	7092	146	253	9
893	7395	5066	146	317	11
894	10142	627	146	299	10
895	8643	2778	146	270	9
896	3586	4257	147	293	10
897	2853	835	147	279	10
898	629	769	147	339	12
899	382	1068	147	415	14
900	6794	317	147	309	11
901	189	5067	147	433	15
902	433	7270	147	272	10
903	65	3590	147	367	13
904	2858	11	147	415	14
905	326	246	148	450	15
906	2388	3127	148	320	11
907	2714	2944	148	323	11
908	2117	3443	148	248	9
909	2283	1342	148	303	11
910	451	3278	148	269	9
911	1145	247	149	440	15
912	4843	10199	149	458	16
913	3919	1157	149	266	9
914	835	267	149	281	10
915	2349	5067	149	263	9
916	4904	3177	149	243	9
917	3457	2068	149	296	10
918	1688	2867	149	210	7
919	8872	2812	149	342	12
920	461	4857	150	583	20
921	5941	8342	150	268	9
922	3601	5982	150	298	10
923	7386	2778	150	303	11
924	5067	1195	150	295	10
925	224	3270	151	238	8
926	280	3290	151	319	11
927	2743	1716	151	267	9
928	3022	3457	151	270	9
929	535	2246	151	291	10
930	1607	3809	151	285	10
931	2089	2775	151	339	12
932	472	3149	151	293	10
933	9221	1561	151	314	11
934	377	3810	151	444	15
935	3155	1274	151	270	9
936	830	5922	151	265	9
937	2414	1634	151	223	8
938	832	244	152	386	13
939	2975	246	152	331	12
940	3070	2532	152	286	10
941	3145	365	152	315	11
942	9221	1112	152	309	11
943	6841	2956	152	300	10
944	1954	9676	153	279	10
945	1843	1113	153	278	10
946	3809	1605	153	298	10
947	7478	8586	153	298	10
948	436	6398	154	301	11
949	2649	10169	154	347	12
950	3176	2507	154	342	12
951	5067	1035	154	338	12
952	10553	7653	154	401	14
953	2765	7409	154	301	11
954	625	728	154	377	13
955	5513	247	154	328	11
956	1596	7311	155	303	11
957	4031	3073	155	293	10
958	454	1015	155	263	9
959	2378	3311	155	289	10
960	2830	2778	155	328	11
961	1525	1716	155	384	13
962	4340	1365	156	276	10
963	7529	4858	156	292	10
964	363	578	156	380	13
965	1606	2778	156	267	9
966	6014	1820	156	281	10
967	62	7066	156	260	9
968	3608	1596	156	259	9
969	2728	1790	157	315	11
970	565	2694	157	350	12
971	1171	9652	157	293	10
972	5922	1489	157	222	8
973	3154	2778	157	314	11
974	2593	2521	157	284	10
975	658	7750	157	353	12
976	619	1069	157	412	14
977	774	5513	157	299	10
978	1398	2498	157	359	12
979	7400	2482	157	325	11
980	5066	1962	157	222	8
981	1948	7672	157	362	13
982	822	2321	157	224	8
983	1022	7752	157	343	12
984	17	2497	157	293	10
985	2321	767	158	338	12
986	3044	2765	158	244	9
987	1606	2335	158	259	9
988	408	1622	158	304	11
989	3176	9779	158	374	13
990	3056	1190	158	283	10
991	8475	2348	158	245	9
992	3084	2312	158	288	10
993	3044	224	158	246	9
994	938	1010	158	289	10
995	7408	1134	158	241	9
996	537	801	158	334	12
997	2665	5066	158	351	12
998	9465	5922	158	388	13
999	46	3073	158	248	9
1000	936	1105	158	310	11
1001	1271	1443	158	453	16
1002	5509	856	159	294	10
1003	9736	2033	159	329	11
1004	729	379	159	391	14
1005	7087	2317	159	251	9
1006	1810	3358	159	227	8
1007	149	2080	159	318	11
1008	7066	3374	159	250	9
1009	2766	3073	159	257	9
1010	1528	3726	159	261	9
1011	2323	2350	159	258	9
1012	2956	588	159	473	16
1013	1618	455	159	285	10
1014	3022	657	160	338	12
1015	1923	3809	160	287	10
1016	856	2081	160	337	12
1017	1603	2765	160	259	9
1018	2600	3949	160	225	8
1019	8439	1023	160	285	10
1020	1620	609	160	310	11
1021	2850	1703	160	347	12
1022	441	2754	161	321	11
1023	1603	49	161	257	9
1024	296	9473	161	387	13
1025	460	4834	161	515	18
1026	2308	6794	161	296	10
1027	7070	2566	161	391	14
1028	1173	448	161	259	9
1029	377	474	161	314	11
1030	625	3611	161	362	13
